origen;regiones;vuelos_total;pasajeros_total;encuestas_min;encuestas_max;encuestas_1_encuestador;encuestas_2_encuestadores;total_encuestas;donaciones;vuelos_encuestados_1_encuestador;vuelos_encuestados_2_encuestadores;total_vuelos_encuestados
FUE;ALEMANIA;25;4168;200;1949;0;572;572;0;0;6;6
FUE;DINAMARCA;2;314;80;147;0;174;174;0;0;2;2
FUE;ESPANIA;54;4366;200;2042;0;646;646;0;0;12;12
FUE;FRANCIA;2;314;80;147;0;85;85;0;0;1;1
FUE;HOLANDA;4;720;80;337;0;178;178;0;0;2;2
FUE;IRLANDA;1;161;80;76;0;89;89;0;0;1;1
FUE;ITALIA;6;967;80;453;0;352;352;0;0;4;4
FUE;POLONIA;6;975;80;456;0;183;183;0;0;2;2
FUE;REINO-UNIDO;14;2282;200;1067;0;727;727;0;0;8;8
FUE;SUECIA;3;561;80;263;0;103;103;0;0;1;1
FUE;SUIZA;3;459;80;215;0;170;170;0;0;2;2
